,0: 0.0E+00 0.0E+00,1: 0.0E+00 0.0E+00,2: 0.0E+00 0.0E+00,3: 0.0E+00 0.0E+00,4: 0.0E+00 0.0E+00,5: 0.0E+00 0.0E+00
55.6,0.0655287,0.0966956,0.122558,0.158711,0.18691,0.713949
55.8,0.0654036,0.0954173,0.123051,0.158945,0.188338,0.716484
56.0,0.0643497,0.0956704,0.123513,0.158243,0.188038,0.719559
56.2,0.0650959,0.0953496,0.123701,0.158982,0.187674,0.722435
56.4,0.0656511,0.0951975,0.123879,0.158695,0.187695,0.725738
56.6,0.0643899,0.0951788,0.12432,0.158137,0.18793,0.728084
56.8,0.0655142,0.0953382,0.122816,0.158273,0.187704,0.731286
57.0,0.0660305,0.0939971,0.123826,0.158885,0.187358,0.734146
57.2,0.0657234,0.0943671,0.123109,0.159896,0.18727,0.73652
57.4,0.0657471,0.0943882,0.123817,0.160104,0.186728,0.738803
57.6,0.0655005,0.0926645,0.12348,0.160989,0.186318,0.742308
57.8,0.0648719,0.0928769,0.12372,0.160916,0.186634,0.744326
58.0,0.0638843,0.0938913,0.122349,0.161,0.186756,0.747046
58.2,0.0639143,0.0940233,0.121929,0.159609,0.187273,0.749394
58.4,0.0645284,0.0941869,0.121088,0.159924,0.187509,0.75268
58.6,0.0650407,0.0956703,0.121418,0.159236,0.187534,0.754983
58.8,0.0653919,0.0955053,0.121609,0.159294,0.187034,0.7571
59.0,0.0653841,0.0960985,0.121625,0.159049,0.187638,0.759585
59.2,0.0656815,0.0950531,0.121393,0.159531,0.187888,0.762883
59.4,0.0643249,0.0949364,0.122357,0.158423,0.18815,0.764328
59.6,0.0649355,0.0944888,0.121894,0.159108,0.188596,0.766244
59.8,0.0643883,0.0940046,0.12105,0.159555,0.188026,0.769697
60.0,0.0650024,0.092679,0.121562,0.160115,0.188116,0.772296
60.2,0.0644315,0.0934082,0.122648,0.160158,0.187504,0.774647
60.4,0.0648839,0.0932649,0.12221,0.161387,0.188007,0.777642
60.6,0.0642891,0.0933428,0.122688,0.161556,0.188454,0.779947
60.8,0.0653057,0.0932646,0.123618,0.161661,0.189365,0.781373
61.0,0.0646542,0.0933723,0.123501,0.16103,0.18854,0.7833
61.2,0.0644532,0.0934693,0.124519,0.16184,0.189991,0.784255
61.4,0.0636167,0.093647,0.124452,0.162018,0.189686,0.786398
61.6,0.0636949,0.0934879,0.123975,0.161037,0.188816,0.789276
61.8,0.0627883,0.094541,0.124259,0.162036,0.187889,0.791809
62.0,0.0636238,0.0945354,0.125738,0.162279,0.188517,0.794256
62.2,0.0642676,0.0943473,0.125029,0.162431,0.188354,0.797267
62.4,0.0653544,0.0940221,0.124674,0.162322,0.188393,0.799467
62.6,0.0659229,0.0943008,0.126286,0.162804,0.188161,0.802308
62.8,0.0659358,0.0928478,0.125797,0.162116,0.18959,0.804138
63.0,0.0653078,0.0928861,0.124885,0.162896,0.189381,0.806082
63.2,0.0655279,0.0920228,0.124412,0.162456,0.189769,0.808071
63.4,0.0647921,0.0917215,0.124803,0.163541,0.190165,0.809329
63.6,0.0637836,0.0911637,0.123444,0.164144,0.191293,0.810526
63.8,0.0640992,0.0917772,0.123798,0.163644,0.190529,0.812974
64.0,0.0648853,0.0919842,0.124183,0.163927,0.191364,0.815895
64.2,0.0638931,0.0927377,0.123346,0.164988,0.190967,0.817855
